make,model,model_year,price,slogan
Pontiac,LeMans,1990,$526938.91,optimize seamless eyeballs
Mazda,Familia,1989,$695230.36,benchmark turn-key technologies
Dodge,Ram 3500,2008,$57697.10,cultivate compelling markets
Chevrolet,Lumina,1999,$732231.71,unleash rich infomediaries
Ford,F250,2011,$387881.84,recontextualize enterprise schemas
Infiniti,EX,2010,$86773.89,incentivize leading-edge schemas
Pontiac,Sunfire,2004,$577382.82,revolutionize strategic technologies
Mazda,B-Series,1990,$304753.20,reinvent customized action-items
Chevrolet,Camaro,1971,$251325.30,cultivate end-to-end web-readiness
Cadillac,Catera,2001,$796789.66,whiteboard frictionless schemas
Saturn,Ion,2003,$295847.51,extend B2C e-tailers
Dodge,Durango,2007,$745130.53,syndicate user-centric deliverables
Chevrolet,3500,1994,$146601.87,cultivate magnetic niches
Ford,Explorer Sport,2002,$726108.61,facilitate viral ROI
Hummer,H3,2007,$584293.44,synthesize vertical infomediaries
Ford,E-Series,1996,$126206.51,incentivize scalable experiences
Subaru,Legacy,1990,$655673.98,revolutionize intuitive markets
Honda,Accord,2010,$775433.20,integrate global action-items
GMC,Yukon,2000,$486698.91,synthesize dot-com applications
Volkswagen,Touareg,2003,$551359.90,extend next-generation e-markets
Toyota,Land Cruiser,1996,$734486.40,benchmark sticky e-services
Mitsubishi,i-MiEV,2012,$427339.58,whiteboard world-class e-business
Aston Martin,DBS,2009,$766173.26,syndicate end-to-end relationships
Mercedes-Benz,C-Class,2006,$751531.25,disintermediate global niches
Dodge,Durango,2011,$21148.54,innovate transparent communities
Toyota,Corolla,2002,$723200.92,drive robust synergies
Dodge,Omni,1978,$59703.95,redefine ubiquitous technologies
Saturn,Sky,2009,$535306.87,innovate value-added e-services
Audi,RS 4,2008,$358831.38,reintermediate clicks-and-mortar paradigms
Volkswagen,Corrado,1994,$51700.77,brand sexy metrics
Nissan,Titan,2010,$312303.87,deploy end-to-end models
Chevrolet,Impala,2009,$320938.65,leverage synergistic systems
Mazda,B-Series,2007,$492904.47,architect ubiquitous vortals
Mercedes-Benz,G-Class,2004,$561996.74,target sticky synergies
Nissan,Cube,2012,$578140.97,streamline cross-media e-tailers
Suzuki,SX4,2011,$237165.39,streamline value-added content
Toyota,Highlander,2001,$368447.71,enable impactful schemas
Acura,CL,1998,$141486.90,generate intuitive e-markets
Lincoln,Mark LT,2007,$279602.06,mesh one-to-one networks
Chevrolet,Suburban 1500,2007,$645232.85,brand visionary synergies
Mercury,Marquis,1985,$96550.57,e-enable compelling architectures
GMC,Jimmy,1994,$595982.07,whiteboard granular e-business
Nissan,Titan,2011,$607988.49,aggregate best-of-breed platforms
Lexus,ES,2002,$199808.17,transition visionary functionalities
Porsche,911,1997,$547839.64,deliver sticky users
Ford,Festiva,1990,$305666.44,reinvent efficient e-services
Pontiac,Torrent,2006,$2718.42,e-enable cross-platform e-commerce
Pontiac,Tempest,1967,$14420.48,engineer B2C communities
Volkswagen,Golf,2002,$62027.00,cultivate end-to-end networks
Isuzu,Rodeo Sport,2001,$567394.98,repurpose customized solutions
Toyota,Tacoma,2002,$63309.45,morph value-added markets
Buick,Electra,1986,$223934.85,synergize 24/7 portals
Pontiac,Firebird Formula,1999,$388690.31,exploit ubiquitous web services
Ford,Country,1967,$329451.47,enhance transparent supply-chains
Ford,F350,2003,$209277.55,benchmark innovative e-commerce
Chevrolet,Express 1500,2008,$567270.47,empower dot-com ROI
Plymouth,Voyager,1993,$269448.28,scale dynamic communities
Isuzu,Rodeo,1995,$331538.11,extend magnetic e-markets
Mitsubishi,Chariot,1989,$774131.95,revolutionize collaborative ROI
Subaru,Impreza,2001,$354292.12,repurpose world-class vortals
Land Rover,LR3,2007,$425058.51,maximize real-time e-markets
Chevrolet,Silverado,2002,$703270.43,recontextualize dot-com infrastructures
Mercury,Tracer,1993,$397903.71,embrace viral solutions
Chevrolet,Express 2500,2010,$317396.53,synergize enterprise platforms
Mercedes-Benz,SL-Class,1992,$107305.48,evolve dot-com web-readiness
Acura,NSX,1998,$119627.16,transition rich relationships
Mitsubishi,Pajero,1984,$693004.25,benchmark clicks-and-mortar e-business
Kia,Sportage,1996,$762414.85,target wireless networks
GMC,Savana 1500,2005,$71506.12,disintermediate one-to-one systems
Plymouth,Grand Voyager,2000,$264178.50,unleash back-end vortals
Chevrolet,Camaro,1976,$380753.04,facilitate seamless mindshare
GMC,1500,1993,$412010.49,architect innovative e-markets
Buick,Regal,1987,$713556.77,reinvent sexy users
Eagle,Summit,1996,$791411.63,cultivate value-added technologies
Infiniti,Q,1999,$148587.65,innovate interactive infrastructures
Dodge,Caravan,1992,$556373.87,whiteboard plug-and-play methodologies
Isuzu,Rodeo,1997,$601218.16,unleash efficient action-items
Buick,LeSabre,1995,$765230.90,transform collaborative applications
Suzuki,Grand Vitara,2003,$62315.23,evolve extensible mindshare
Lexus,IS,2011,$320593.70,deploy wireless users
Mitsubishi,Mirage,1995,$207095.77,mesh mission-critical infomediaries
Mercedes-Benz,S-Class,2004,$789526.31,whiteboard dot-com vortals
Buick,Park Avenue,2004,$285901.61,optimize dynamic infomediaries
Dodge,Dakota,1993,$721165.95,synergize virtual technologies
Mitsubishi,Chariot,1995,$772496.90,transform extensible portals
Mitsubishi,Outlander Sport,2011,$718534.77,monetize cross-platform convergence
Cadillac,Seville,1997,$431927.79,drive ubiquitous e-services
